Null Report AM471e SN12144-B299-00172
Date,Channel,1uA,10uA,100uA,1mA,10mA,100mA,1A,3A,1V,10V,LastCalDate
8-Aug-2014-19h-45m-22s,0,0.000000000064,0.000000000200,-0.000000002695,0.000000009709,0.000000143042,0.000006996384,-0.000063054338,-0.000240422437,0.000000000000,0.000000000000,8-Apr-2014-16h-30m-53s
8-Aug-2014-19h-46m-0s,0,0.000000000070,0.000000000118,-0.000000002502,0.000000017124,0.000000180385,0.000007042980,-0.000048958675,-0.000250822508,0.000000000000,0.000000000000,8-Apr-2014-16h-30m-53s
11-Aug-2014-15h-1m-16s,0,-0.000000000013,0.000000000067,-0.000000004202,0.000000003557,0.000000036237,0.000001181499,-0.000111358682,-0.000441984026,0.000000000000,0.000000000000,8-Apr-2014-16h-30m-53s
11-Aug-2014-15h-12m-54s,0,-0.000000000018,0.000000000039,-0.000000004066,0.000000000426,0.000000014233,0.000000468739,-0.000105610714,-0.000422717442,0.000000000000,0.000000000000,8-Apr-2014-16h-30m-53s
