Null Report AM471e SN12144-B300-00168
Date,Channel,1uA,10uA,100uA,1mA,10mA,100mA,1A,3A,1V,10V,LastCalDate
8-Aug-2014-19h-45m-17s,0,0.000000000074,-0.000000000070,-0.000000002990,-0.000000005916,-0.000000035989,0.000001137082,-0.000096583159,-0.000370824234,0.000000000000,0.000000000000,5-Apr-2014-13h-59m-33s
8-Aug-2014-19h-45m-46s,0,0.000000000085,-0.000000000040,-0.000000003296,-0.000000007412,-0.000000088186,0.000002231582,-0.000099723270,-0.000373043993,0.000000000000,0.000000000000,5-Apr-2014-13h-59m-33s
8-Aug-2014-19h-46m-13s,0,0.000000000087,-0.000000000033,-0.000000003353,-0.000000007565,-0.000000088743,0.000002439029,-0.000097984536,-0.000349980953,0.000000000000,0.000000000000,5-Apr-2014-13h-59m-33s
